"","rules","support","confidence","lift"
"170","{HigherEducation=2,PopulationDensity=1} => {Outcome=Lost}",0.106326422115896,0.540540540540541,1.52666179693207
"39","{BelowPovertyLine=1} => {Outcome=Lost}",0.155236576289208,0.482644628099174,1.36314496314496
"21","{PerCapitaIncome=3} => {Outcome=Lost}",0.11217437533227,0.481735159817352,1.36057632975441
"173","{PerCapitaIncome=2,PopulationDensity=1} => {Outcome=Lost}",0.100478468899522,0.468982630272953,1.3245590503655
"176","{PopulationDensity=1,WhiteOnly=2} => {Outcome=Lost}",0.107389686337055,0.461187214611872,1.30254226829569
"54","{HigherEducation=2} => {Outcome=Lost}",0.166400850611377,0.426430517711172,1.20437808380588
"61","{WhiteOnly=2} => {Outcome=Lost}",0.191919191919192,0.404255319148936,1.14174813110983
"56","{PerCapitaIncome=2} => {Outcome=Lost}",0.161084529505582,0.397637795275591,1.12305809746755
"63","{PopulationDensity=1} => {Outcome=Lost}",0.211589580010633,0.371615312791783,1.04956216720923
"59","{BelowPovertyLine=2} => {Outcome=Lost}",0.1632110579479,0.349658314350797,0.987548482423198
