Winner,Afn120207,Age295214,Age775214,Bps030214,Bza010213,Bza110213,Bza115213,Edu635213,Edu685213,Hsd310213,Hsd410213,Hsg010214,Hsg096213,Hsg445213,Hsg495213,Inc110213,Inc910213,Lfe305213,Lnd110210,Man450207,Nes010213,Pop010210,Pop060210,Pop645213,Pop715213,Pop815213,Pst120214,Pvy020213,Rhi225214,Rhi325214,Rhi425214,Rhi525214,Rhi625214,Rhi725214,Rhi825214,Rtn130207,Rtn131207,Sbo001207,Sbo015207,Sbo115207,Sbo215207,Sbo315207,Sbo415207,Sbo515207,Sex255214,Vet605213,Wtn220207
Not John Kasich,88157,25.2,13.8,131,817,10120,2.1,85.6,20.9,2.71,20071,22751,8.3,76.8,136200,53682,24571,26.2,594.44,0,2947,54571,91.8,1.6,85,3.5,1.5,12.1,18.7,0.5,1.1,0.1,1.8,2.7,75.6,598175,12003,4067,31.7,0,1.3,15.2,0.7,0,51.4,5922,0
Not John Kasich,436955,22.2,18.7,1384,4871,54988,3.7,89.1,27.7,2.52,73283,107374,24.4,72.6,168600,50221,26766,25.9,1589.78,1410273,16508,182265,114.6,3.6,82.1,5.5,9.8,13.9,9.6,0.7,0.9,0.1,1.6,4.6,83,2966489,17166,19035,27.3,0.4,1,2.7,1.3,0,51.2,19346,0
Not John Kasich,0,21.2,16.5,8,464,6611,-5.6,73.7,13.4,2.66,9200,11799,10.6,67.7,89200,32911,16829,24.6,884.88,0,1546,27457,31,2.9,84.8,5,-2.1,26.7,47.6,0.6,0.5,0.2,0.9,4.5,46.6,188337,6334,1667,27,0,0,0,0,0,46.6,2120,0
Not John Kasich,10757,21,14.8,19,275,3145,7.5,77.5,12.1,3.03,7091,8978,7.3,79,90500,36447,17427,27.6,622.58,0,1126,22915,36.8,1.2,86.6,2.1,-1.8,18.1,22.1,0.4,0.2,0.1,0.9,2.1,74.5,124707,5804,1385,0,0,0,14.9,0,0,45.9,1327,0
Not John Kasich,20941,23.6,17,3,660,6798,3.4,77,12.1,2.7,21108,23826,4.5,81,117100,44145,20730,33.9,644.78,341544,3563,57322,88.9,4.3,88.7,7.3,0.7,15.8,1.8,0.6,0.3,0.1,1.2,8.7,87.8,319700,5622,4458,23.2,0,0,0,0,0,50.5,4540,0
Not John Kasich,3670,21.4,14.9,1,112,0,0,67.8,12.5,2.73,3741,4461,8.7,74.3,70600,32033,18628,26.9,622.81,0,470,10914,17.5,5.4,84.7,5.2,-1.4,21.6,70.1,0.8,0.3,0.7,1.1,7.5,22.1,43810,3995,417,38.8,0,0,0,0,0,45.3,636,0
Not John Kasich,28427,23.6,18,2,393,5711,2.7,76.3,14,2.47,8235,9916,13.3,70.3,74700,29918,17403,24,776.83,399132,1095,20947,27,0.8,94.6,1.7,-3.1,28.4,44,0.4,0.9,0,0.8,1.2,53.1,229277,11326,1769,0,0,3.3,0,0,0,53.6,1497,56712
Not John Kasich,186533,22.2,16,114,2311,34871,0.6,78.6,16.1,2.54,45196,53289,13.8,68.7,100600,39962,20828,22.5,605.87,2679991,6352,118572,195.7,2.4,83.6,4.5,-2.3,21.9,21.1,0.5,0.9,0.1,1.7,3.5,72.9,1542981,13678,8713,24.7,0,1.6,7.2,0.5,0,51.8,11385,0
Not John Kasich,23237,21.4,18.3,8,515,6431,-0.2,75.1,11.8,2.46,13722,16894,11.1,67.9,81200,32402,19291,24.6,596.53,667283,2354,34215,57.4,1.1,85.8,1.3,-0.3,24.1,39.5,0.3,0.8,0.1,1.1,2,56.8,264650,7620,1981,29.3,0,0,0,0,0,52.3,2691,0
Not John Kasich,13948,20.4,20.9,2,379,3864,5.5,78.3,12.8,2.2,11656,16241,4.6,76.1,99400,34907,22030,26.9,553.7,307439,1560,25989,46.9,0.7,90.6,1.1,0.2,21.2,4.6,0.5,0.3,0,1.6,1.5,91.6,186321,7613,2180,14.5,0,0,0,0,0,50.2,2174,62293
