fips,Votes,Fraction.Votes,Afn120207,Age295214,Age775214,Bps030214,Bza010213,Bza110213,Bza115213,Edu635213,Edu685213,Hsd310213,Hsd410213,Hsg010214,Hsg445213,Hsg495213,Inc110213,Inc910213,Lfe305213,Lnd110210,Man450207,Nes010213,Pop010210,Pop060210,Pop645213,Pop715213,Pop815213,Pst120214,Pvy020213,Rhi225214,Rhi325214,Rhi425214,Rhi525214,Rhi625214,Rhi725214,Rhi825214,Rtn130207,Rtn131207,Sbo001207,Sbo015207,Sbo115207,Sbo215207,Sbo315207,Sbo415207,Sbo515207,Sex255214,Vet605213,Wtn220207
6001,0,0,2807766,21.4,12.5,3438,37108,598309,1.9,86.4,41.8,2.76,545071,592355,53.2,493800,72112,35763,28.8,739.02,25236865,124216,1510271,2043.6,30.8,84.1,43.1,6.7,12.5,12.1,1.1,28.9,1,5.2,22.7,32.8,17909054,12359,140342,32.2,0,24.4,6.8,8.9,0,51,63738,35674007
6003,0,0,0,20,21.1,3,36,176,-71.5,90.4,31.2,2.9,394,1765,81.5,333600,58636,25527,23.7,738.33,0,101,1175,1.6,3.8,84.8,9.9,-5,16.6,0.3,24.7,1.3,0,3.4,9.6,64.7,0,0,122,0,0,0,0,0,0,48,177,0
6005,0,0,61202,15.3,25.1,22,786,7768,2.9,88.1,19.3,2.32,14262,18249,76.1,270500,53684,27347,30,594.58,142958,2678,38091,64.1,5.7,86.1,9.6,-3.5,12.6,2.1,2.2,1.4,0.2,3.3,13,79.6,1800754,46797,3491,23,0,0,0,0,0,46.9,4631,0
6007,0,0,355840,20.2,17,550,4637,56166,4.6,87.7,24.4,2.53,84816,97486,60.1,225900,43752,23787,20.3,1636.46,987397,13031,220000,134.4,7.5,79.1,13.6,1.9,20.4,1.8,2.5,4.6,0.3,4.2,15.5,73.5,2400652,11025,17307,30.9,0,2.7,1.2,0,0,50.5,18453,796397
6009,0,0,42359,17.7,25.1,70,881,5729,1.3,92.8,21.2,2.38,18702,28053,78.4,254800,55295,29329,35.5,1020.01,0,3521,45578,44.7,4.2,89.3,7,-2.1,10.9,1,1.9,1.5,0.2,3.5,11.5,82.1,292762,6249,5365,24.7,0,0,0,0,0,50,5216,24179
6011,0,0,91604,28,13.1,58,376,3956,1.3,69.4,13.8,3.07,6853,7938,63.3,181600,52158,21579,21.2,1150.73,288416,974,21419,18.6,23.3,82.4,46.3,0,12.5,1.2,2.6,1.8,0.6,2.3,58.1,36.7,208543,9884,1234,25.9,0,0,0,0,0,48.6,1126,183229
6013,0,0,1562250,23.4,14.2,2001,22338,306661,3.5,88.8,39,2.81,375855,406772,65.9,404000,78756,38219,33.3,715.94,32021431,82405,1049025,1465.2,23.5,85.3,33.3,5.9,10.5,9.6,1,16.4,0.6,5.1,25.2,45.6,11763753,11641,95688,31.2,1.4,14.8,4.1,10.9,0.3,51.3,57474,6643987
6015,0,0,32195,21.2,15.6,9,417,3966,-0.1,79.1,14,2.58,9593,11336,60.2,198400,37909,19072,14.2,1006.37,0,1210,28610,28.4,6.5,78.5,15.3,-4.9,21.8,3.5,9,3.7,0.2,5,19,63.3,206291,7176,1604,28,0,0,0,0,0,45.2,2770,0
6017,0,0,301718,20.9,18,190,4236,40712,2.2,93.2,32,2.64,67885,88866,74.8,359500,69297,34884,28.8,1707.88,662228,15627,181058,106,8.7,85.5,12.5,1.1,9,1,1.3,4,0.2,3.6,12.7,78.7,1619711,9216,21265,26.9,0,2.4,0,6.5,0,49.9,16792,363644
6019,0,0,1147177,28.9,11.2,1892,15973,239776,2,73.1,19.6,3.18,289811,324126,53.8,195400,45563,20208,22.1,5957.99,7827264,49304,930450,156.2,21.9,83.6,43.7,3.8,26,5.9,3,10.7,0.3,3,51.9,30.9,9808267,11022,58745,29.4,0,11.3,3.9,21.4,0,50.1,42944,7846791
6021,0,0,30980,26.7,14.9,30,453,4574,0.1,72.3,14.6,2.87,9628,10917,63.1,217700,43023,22148,21.8,1313.95,278276,1353,28122,21.4,17.2,86.6,36.1,-0.6,18.8,1.2,2.9,3,0.2,2.7,40.4,53,203958,7320,1903,26.1,0,0,0,16.6,0,49.6,1514,148410
6023,0,0,209017,19.5,15.4,234,3169,32396,0.2,90.4,27.5,2.44,53296,62348,55.9,288300,41426,23540,17.5,3567.99,877020,11071,134623,37.7,5.7,81.2,9.7,0.1,20.4,1.4,6.2,2.8,0.3,5.4,10.8,75.5,1726357,13428,14689,26.9,2.9,0,0,0,0,50,10437,0
6025,0,0,167799,28.5,12,246,2419,31319,3.9,64.5,13.3,3.42,48099,56972,56.4,147300,41807,16763,20.8,4176.6,1207866,9691,174528,41.8,32.3,84,74.5,2.6,23.3,3.5,2.6,2.3,0.2,1.7,82.3,12.3,1727258,10771,10129,28.8,2.6,0,2.6,52.2,0,48.9,6405,0
6027,0,0,91666,20.6,21.4,7,525,5085,-2.4,88.1,21.4,2.3,7873,9513,64.1,236100,44796,27441,14.8,10180.88,0,1298,18546,1.8,10.4,88.2,14.9,-0.7,12.8,1,12.8,1.6,0.1,3.1,20.9,64.3,241967,13876,1709,0,0,0,0,0,0,49.9,1720,0
6029,0,0,940340,29.4,9.9,2297,12344,195927,3.1,72.4,15,3.19,255271,291454,58,161700,48552,20295,23.6,8131.92,9456205,43515,839631,103.3,20.6,80.4,42.1,4.2,22.9,6.3,2.6,5,0.3,3,51.5,36.2,7876043,10037,53051,31.4,2.3,0,4.4,24,0.2,48.7,44753,5730521
6031,0,0,360069,27.5,9.1,434,1575,23441,0.6,71,12.9,3.28,40785,44864,51.8,176900,48133,18429,21.4,1389.42,2107702,4180,152982,110.1,20.1,81.1,42.8,-1.8,21,7.3,3,4.4,0.3,3.6,53.2,33.7,1035901,7017,6194,35,1.1,6.8,0,27.1,0,44.8,10609,0
6033,0,0,68069,20.4,20.6,45,1032,9233,1,85.4,16.2,2.38,26505,35657,62.7,183600,36548,21537,27.5,1256.46,0,3929,64665,51.5,8.6,80.7,14.2,-0.7,25,2.1,4.1,1.4,0.3,4.5,19.1,72.1,557902,8630,4961,31.6,0,0,0.9,0,0,50,6777,0
6035,0,0,29679,17,12.5,6,409,3947,12.5,79.4,13.1,2.36,9945,12741,62.9,185500,53107,19931,19.4,4541.18,0,1031,34895,7.7,7,71.1,17.7,-9,16.9,8.8,4.2,1.4,0.6,3.4,18.5,66,260422,7440,1829,20.3,0,0,0,0,0,36.3,3119,0
6037,0,0,20238148,22.8,12.2,17659,253227,3799831,3.8,76.6,29.7,3.01,3230383,3482516,46.9,420200,55909,27749,29.3,4057.88,153343705,945941,9818605,2419.6,35.1,86.4,56.8,3,17.8,9.2,1.5,14.8,0.4,2.9,48.4,26.8,119111840,12236,1046940,30.2,1.4,17.5,5.7,21.6,0.3,50.7,331642,198435837
6039,0,0,125079,27.6,12.8,214,1883,25438,2.6,68.5,13.6,3.37,42516,49891,60.8,182000,45625,17847,25.5,2137.07,1452945,6970,150865,70.6,21.5,87.4,44.1,2.4,22.8,4.3,4.5,2.5,0.3,2.4,56.1,35.8,1010216,6956,9543,26.3,0,5.1,0,23.7,0,51.9,8266,353109
6041,0,0,626574,20.5,19.4,390,9654,98110,4,92.4,54.6,2.39,102912,112295,62.8,781900,90839,56791,28.6,520.31,397211,36468,252409,485.1,19,85,23,3.3,7.7,2.9,1.1,6.1,0.3,3.7,16,72.2,4589300,18648,42712,33.9,0,0,0.9,0,0,51.2,15439,2373072
